roleLevel,user_id,firstName,lastName,email,password,tenantName,tenantId,userRole,reportsTo,state,faceEmbedding,fingerprintTemplate,faceRegistered,fingerprintRegistered,phone,govId,bloodGroup,address,skillType,shiftId,vendorId,isActive,mustChangePassword
1,SA001,Nick,Fury,nick.fury@fencein.app,fencein@SA001,SHIELD,ORG001,SUPER_ADMIN,ORG001,ACTIVE,NULL,NULL,FALSE,FALSE,9875048680,GOV34274,O+,SHIELD,Enterprise Administration,SHIFT001,NULL,TRUE,FALSE
1,SA002,Amanda,Waller,amanda.waller@fencein.app,fencein@SA002,ARGUS,ORG002,SUPER_ADMIN,ORG002,ACTIVE,NULL,NULL,FALSE,FALSE,9889898158,GOV45984,B-,ARGUS,Enterprise Administration,SHIFT002,NULL,TRUE,FALSE
2,OA001,Tony,Stark,tony.stark@fencein.app,fencein@OA001,SHIELD,ORG001,ORG_ADMIN,SA001,ACTIVE,NULL,NULL,FALSE,FALSE,9886191330,GOV57229,A+,SHIELD,Organization Management,SHIFT002,NULL,TRUE,FALSE
2,OA002,Bruce,Banner,bruce.banner@fencein.app,fencein@OA002,SHIELD,ORG001,ORG_ADMIN,SA001,ACTIVE,NULL,NULL,FALSE,FALSE,9880768194,GOV48699,A-,SHIELD,Organization Management,SHIFT003,NULL,TRUE,FALSE
2,OA003,Bruce,Wayne,bruce.wayne@fencein.app,fencein@OA003,ARGUS,ORG002,ORG_ADMIN,SA002,ACTIVE,NULL,NULL,FALSE,FALSE,9819339804,GOV93690,B+,ARGUS,Organization Management,SHIFT001,NULL,TRUE,FALSE
2,OA004,Lex,Luthor,lex.luthor@fencein.app,fencein@OA004,ARGUS,ORG002,ORG_ADMIN,SA002,ACTIVE,NULL,NULL,FALSE,FALSE,9859622016,GOV23725,AB+,ARGUS,Organization Management,SHIFT003,NULL,TRUE,FALSE
3,SP001,Steve,Rogers,steve.rogers@fencein.app,fencein@SP001,SHIELD,ORG001,SUPERVISOR,OA001,ACTIVE,NULL,NULL,FALSE,FALSE,9817037817,GOV97779,B+,SHIELD,Workforce Supervision,SHIFT001,NULL,TRUE,FALSE
3,SP002,TChalla,Wakanda,tchalla.wakanda@fencein.app,fencein@SP002,SHIELD,ORG001,SUPERVISOR,OA002,ACTIVE,NULL,NULL,FALSE,FALSE,9822557325,GOV58846,AB+,SHIELD,Workforce Supervision,SHIFT001,NULL,TRUE,FALSE
3,SP003,Batman,Gotham,batman.gotham@fencein.app,fencein@SP003,ARGUS,ORG002,SUPERVISOR,OA003,ACTIVE,NULL,NULL,FALSE,FALSE,9878212230,GOV69196,A+,ARGUS,Workforce Supervision,SHIFT003,NULL,TRUE,FALSE
3,SP004,Jonn,Jonzz,jonn.jonzz@fencein.app,fencein@SP004,ARGUS,ORG002,SUPERVISOR,OA004,ACTIVE,NULL,NULL,FALSE,FALSE,9854433456,GOV39865,O+,ARGUS,Workforce Supervision,SHIFT003,NULL,TRUE,FALSE
4,SO001,Natasha,Romanoff,natasha.romanoff@fencein.app,fencein@SO001,SHIELD,ORG001,SECURITY_OFFICER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9813590366,GOV71254,B+,SHIELD,Security Surveillance,SHIFT002,NULL,TRUE,FALSE
4,SO002,Clint,Barton,clint.barton@fencein.app,fencein@SO002,SHIELD,ORG001,SECURITY_OFFICER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9886867182,GOV72346,O+,SHIELD,Security Surveillance,SHIFT001,NULL,TRUE,FALSE
4,SO003,Sam,Wilson,sam.wilson@fencein.app,fencein@SO003,SHIELD,ORG001,SECURITY_OFFICER,SP002,ACTIVE,NULL,NULL,FALSE,FALSE,9870901158,GOV37826,A-,SHIELD,Security Surveillance,SHIFT003,NULL,TRUE,FALSE
4,SO004,Bucky,Barnes,bucky.barnes@fencein.app,fencein@SO004,SHIELD,ORG001,SECURITY_OFFICER,SP002,ACTIVE,NULL,NULL,FALSE,FALSE,9817585333,GOV24110,B+,SHIELD,Security Surveillance,SHIFT003,NULL,TRUE,FALSE
4,SO005,Dick,Grayson,dick.grayson@fencein.app,fencein@SO005,ARGUS,ORG002,SECURITY_OFFICER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9822509328,GOV71519,A+,ARGUS,Security Surveillance,SHIFT003,NULL,TRUE,FALSE
4,SO006,Jason,Todd,jason.todd@fencein.app,fencein@SO006,ARGUS,ORG002,SECURITY_OFFICER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9835560154,GOV97329,AB+,ARGUS,Security Surveillance,SHIFT003,NULL,TRUE,FALSE
4,SO007,Oliver,Queen,oliver.queen@fencein.app,fencein@SO007,ARGUS,ORG002,SECURITY_OFFICER,SP004,ACTIVE,NULL,NULL,FALSE,FALSE,9870553174,GOV37085,A-,ARGUS,Security Surveillance,SHIFT002,NULL,TRUE,FALSE
4,SO008,Victor,Stone,victor.stone@fencein.app,fencein@SO008,ARGUS,ORG002,SECURITY_OFFICER,SP004,ACTIVE,NULL,NULL,FALSE,FALSE,9827275964,GOV89372,B+,ARGUS,Security Surveillance,SHIFT002,NULL,TRUE,FALSE
5,VN001,Thor,Industries,thor.industries@fencein.app,fencein@VN001,SHIELD,ORG001,VENDOR_MANAGER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9821282206,GOV46884,B+,SHIELD,Vendor Operations,SHIFT003,NULL,TRUE,FALSE
5,VN002,Wakanda,Tech,wakanda.tech@fencein.app,fencein@VN002,SHIELD,ORG001,VENDOR_MANAGER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9817141799,GOV61408,A+,SHIELD,Vendor Operations,SHIFT001,NULL,TRUE,FALSE
5,VN003,Asgard,Logistics,asgard.logistics@fencein.app,fencein@VN003,SHIELD,ORG001,VENDOR_MANAGER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9828423049,GOV64255,A-,SHIELD,Vendor Operations,SHIFT001,NULL,TRUE,FALSE
5,VN004,Stark,Security,stark.security@fencein.app,fencein@VN004,SHIELD,ORG001,VENDOR_MANAGER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9828397562,GOV32124,AB+,SHIELD,Vendor Operations,SHIFT003,NULL,TRUE,FALSE
5,VN005,XMen,Workforce,xmen.workforce@fencein.app,fencein@VN005,SHIELD,ORG001,VENDOR_MANAGER,SP001,ACTIVE,NULL,NULL,FALSE,FALSE,9810431115,GOV46627,AB+,SHIELD,Vendor Operations,SHIFT001,NULL,TRUE,FALSE
5,VN006,Wayne,Enterprises,wayne.enterprises@fencein.app,fencein@VN006,ARGUS,ORG002,VENDOR_MANAGER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9860063999,GOV29926,A+,ARGUS,Vendor Operations,SHIFT003,NULL,TRUE,FALSE
5,VN007,DailyPlanet,Services,dailyplanet.services@fencein.app,fencein@VN007,ARGUS,ORG002,VENDOR_MANAGER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9819360770,GOV57145,B-,ARGUS,Vendor Operations,SHIFT003,NULL,TRUE,FALSE
5,VN008,STARLabs,Ops,starlabs.ops@fencein.app,fencein@VN008,ARGUS,ORG002,VENDOR_MANAGER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9840874434,GOV36337,AB+,ARGUS,Vendor Operations,SHIFT001,NULL,TRUE,FALSE
5,VN009,Queen,Consolidated,queen.consolidated@fencein.app,fencein@VN009,ARGUS,ORG002,VENDOR_MANAGER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9870330609,GOV12313,B-,ARGUS,Vendor Operations,SHIFT002,NULL,TRUE,FALSE
5,VN010,Atlantis,MarineWorks,atlantis.marineworks@fencein.app,fencein@VN010,ARGUS,ORG002,VENDOR_MANAGER,SP003,ACTIVE,NULL,NULL,FALSE,FALSE,9819027185,GOV84578,O+,ARGUS,Vendor Operations,SHIFT003,NULL,TRUE,FALSE
6,WK001,Loki,Worker,loki.worker@fencein.app,fencein@WK001,SHIELD,ORG001,WORKER,VN001,ACTIVE,NULL,NULL,FALSE,FALSE,9820909612,GOV36017,B+,SHIELD,Surveillance,SHIFT003,VN001,TRUE,FALSE
6,WK002,Heimdall,Worker,heimdall.worker@fencein.app,fencein@WK002,SHIELD,ORG001,WORKER,VN001,ACTIVE,NULL,NULL,FALSE,FALSE,9814489015,GOV18006,AB+,SHIELD,Welding,SHIFT002,VN001,TRUE,FALSE
6,WK003,Valkyrie,Worker,valkyrie.worker@fencein.app,fencein@WK003,SHIELD,ORG001,WORKER,VN001,ACTIVE,NULL,NULL,FALSE,FALSE,9811950175,GOV41070,B+,SHIELD,Electrical,SHIFT003,VN001,TRUE,FALSE
6,WK004,Sif,Worker,sif.worker@fencein.app,fencein@WK004,SHIELD,ORG001,WORKER,VN001,ACTIVE,NULL,NULL,FALSE,FALSE,9875850040,GOV75803,B-,SHIELD,Operations,SHIFT002,VN001,TRUE,FALSE
6,WK005,Korg,Worker,korg.worker@fencein.app,fencein@WK005,SHIELD,ORG001,WORKER,VN001,ACTIVE,NULL,NULL,FALSE,FALSE,9818257753,GOV61758,O+,SHIELD,Administration,SHIFT002,VN001,TRUE,FALSE
